Player Name,Number_Identifier,games_played,goals,assists,points,Points.Per.Game,Hall.Of.Famer,X100..Games..Player.,X500..Games..Player.,X1000..Games..Player.,X500..Points,X1000..Points,Top15Pick,Cluster 
Steve Larouche,7144,26,9,9,18,0.692307692,0,0,0,0,0,0,0,1
Anton Lundell,418,65,18,26,44,0.676923077,0,0,0,0,0,0,1,1
Igor Liba,8571,37,7,18,25,0.675675676,0,0,0,0,0,0,0,1
Drake Batherson,1094,145,40,57,97,0.668965517,0,1,0,0,0,0,0,1
Petr Straka,2372,3,0,2,2,0.666666667,0,0,0,0,0,0,0,1
Jonas Nordqvist,4550,3,0,2,2,0.666666667,0,0,0,0,0,0,0,1
Karel Betik,5347,3,0,2,2,0.666666667,0,0,0,0,0,0,0,1
Daniel Poulin,9793,3,1,1,2,0.666666667,0,0,0,0,0,0,0,1
Tim Stützle,410,132,34,53,87,0.659090909,0,1,0,0,0,0,1,1
Milan Novy,8763,73,18,30,48,0.657534247,0,0,0,0,0,0,0,1
Peter Sullivan,10720,126,28,54,82,0.650793651,0,1,0,0,0,0,0,1
Jack Hughes,604,166,44,64,108,0.65060241,0,1,0,0,0,0,1,1
Dan Hodgson,8564,114,29,45,74,0.649122807,0,1,0,0,0,0,0,1
Tapio Levo,10054,107,16,53,69,0.644859813,0,1,0,0,0,0,0,1
Tom Thornbury,8986,14,1,8,9,0.642857143,0,0,0,0,0,0,0,1
George Lyle,10456,99,24,38,62,0.626262626,0,0,0,0,0,0,0,1
Thomas Bordeleau,444,8,0,5,5,0.625,0,0,0,0,0,0,0,1
Tony Virta,4343,8,2,3,5,0.625,0,0,0,0,0,0,0,1
Fred Perlini,9274,8,2,3,5,0.625,0,0,0,0,0,0,0,1
Cole Caufield,617,77,27,21,48,0.623376623,0,0,0,0,0,0,1,1
Ken Hodge,8300,142,39,48,87,0.612676056,0,1,0,0,0,0,0,1
Stephane Morin,7146,90,16,39,55,0.611111111,0,0,0,0,0,0,0,1
Michel Ouellet,4617,190,52,64,116,0.610526316,0,1,0,0,0,0,0,1
Moritz Seider,609,82,7,43,50,0.609756098,0,0,0,0,0,0,1,1
