Player Name,Number_Identifier,games_played,goals,assists,points,Points.Per.Game,Hall.Of.Famer,X100..Games..Player.,X500..Games..Player.,X1000..Games..Player.,X500..Points,X1000..Points,Top15Pick,Cluster
Dave Kryskow,10657,231,33,56,89,0.385281385,0,1,0,0,0,0,0,4
Sven Andrighetto,1830,216,31,52,83,0.384259259,0,1,0,0,0,0,0,4
Jesperi Kotkaniemi,801,237,34,57,91,0.383966245,0,1,0,0,0,0,1,4
Rem Murray,6527,560,94,121,215,0.383928571,0,1,1,0,0,0,0,4
Dave Archibald,7573,323,57,67,124,0.383900929,0,1,0,0,0,0,1,4
Artturi Lehkonen,1803,412,80,78,158,0.383495146,0,1,0,0,0,0,0,4
Hampus Lindholm,1947,591,57,169,226,0.382402707,0,1,1,0,0,0,1,4
Patrick Eaves,3757,633,132,110,242,0.382306477,0,1,1,0,0,0,0,4
Paul Boutilier,8961,288,27,83,110,0.381944444,0,1,0,0,0,0,0,4
Steven Rice,7126,329,64,61,125,0.37993921,0,1,0,0,0,0,0,4
Bill Muckalt,6094,256,40,57,97,0.37890625,0,1,0,0,0,0,0,4
Jesse Puljujarvi,1186,259,46,52,98,0.378378378,0,1,0,0,0,0,1,4
Karel Rachunek,5454,371,22,118,140,0.377358491,0,1,0,0,0,0,0,4
Peter Douris,8285,321,54,67,121,0.37694704,0,1,0,0,0,0,0,4
Vic Venasky,10664,430,61,101,162,0.376744186,0,1,0,0,0,0,0,4
Mattias Janmark,1823,420,66,92,158,0.376190476,0,1,0,0,0,0,0,4
Rasmus Andersson,1426,298,16,96,112,0.375838926,0,1,0,0,0,0,0,4
Richard Panik,2559,521,88,107,195,0.37428023,0,1,1,0,0,0,0,4
Dave Schultz,10891,535,79,121,200,0.373831776,0,1,1,0,0,0,0,4
Brad Dalgarno,8033,321,49,71,120,0.373831776,0,1,0,0,0,0,1,4
David Bruce,8516,234,48,39,87,0.371794872,0,1,0,0,0,0,0,4
Bob Brooke,9199,447,69,97,166,0.371364653,0,1,0,0,0,0,0,4
Vaclav Varada,5978,493,58,125,183,0.371196755,0,1,0,0,0,0,0,4
Miles Wood,1842,326,65,56,121,0.371165644,0,1,0,0,0,0,0,4
Danton Cole,8138,318,58,60,118,0.371069182,0,1,0,0,0,0,0,4
Bob Hess,10146,329,27,95,122,0.370820669,0,1,0,0,0,0,0,4
Patrick Poulin,6650,634,101,134,235,0.370662461,0,1,1,0,0,0,1,4
Luke Kunin,1197,251,46,47,93,0.370517928,0,1,0,0,0,0,1,4
Anton Babchuk,4012,289,36,71,107,0.370242215,0,1,0,0,0,0,0,4
Andre Dore,9494,257,14,81,95,0.369649805,0,1,0,0,0,0,0,4
Scott Pellerin,7150,536,72,126,198,0.369402985,0,1,1,0,0,0,0,4
Frantisek Kaberle,4835,523,29,164,193,0.369024857,0,1,1,0,0,0,0,4
Oskar Lindblom,1685,263,50,47,97,0.368821293,0,1,0,0,0,0,0,4
Filip Chytil,1007,253,42,51,93,0.367588933,0,1,0,0,0,0,0,4
Steve Atkinson,10962,302,60,51,111,0.367549669,0,1,0,0,0,0,1,4
Rostislav Olesz,3477,365,57,77,134,0.367123288,0,1,0,0,0,0,1,4
